"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CPI","TOT","AGRWTH","A","1971",5.717089,
"OECD","CPI","TOT","AGRWTH","A","1972",5.16681,
"OECD","CPI","TOT","AGRWTH","A","1973",8.198155,
"OECD","CPI","TOT","AGRWTH","A","1974",14.08871,
"OECD","CPI","TOT","AGRWTH","A","1975",11.86571,
"OECD","CPI","TOT","AGRWTH","A","1976",9.256572,
"OECD","CPI","TOT","AGRWTH","A","1977",10.17296,
"OECD","CPI","TOT","AGRWTH","A","1978",9.162092,
"OECD","CPI","TOT","AGRWTH","A","1979",11.25302,
"OECD","CPI","TOT","AGRWTH","A","1980",14.77899,
"OECD","CPI","TOT","AGRWTH","A","1981",11.99485,
"OECD","CPI","TOT","AGRWTH","A","1982",10.67817,
"OECD","CPI","TOT","AGRWTH","A","1983",10.52685,
"OECD","CPI","TOT","AGRWTH","A","1984",8.883384,
"OECD","CPI","TOT","AGRWTH","A","1985",7.637476,
"OECD","CPI","TOT","AGRWTH","A","1986",6.810337,
"OECD","CPI","TOT","AGRWTH","A","1987",9.100111,
"OECD","CPI","TOT","AGRWTH","A","1988",9.836652,
"OECD","CPI","TOT","AGRWTH","A","1989",6.389233,
"OECD","CPI","TOT","AGRWTH","A","1990",7.08506,
"OECD","CPI","TOT","AGRWTH","A","1991",6.64326,
"OECD","CPI","TOT","AGRWTH","A","1992",5.333544,
"OECD","CPI","TOT","AGRWTH","A","1993",4.653165,
"OECD","CPI","TOT","AGRWTH","A","1994",4.726365,
"OECD","CPI","TOT","AGRWTH","A","1995",6.068326,
"OECD","CPI","TOT","AGRWTH","A","1996",5.820288,
"OECD","CPI","TOT","AGRWTH","A","1997",4.910515,
"OECD","CPI","TOT","AGRWTH","A","1998",4.332558,
"OECD","CPI","TOT","AGRWTH","A","1999",3.701797,
"OECD","CPI","TOT","AGRWTH","A","2000",4.057151,
"OECD","CPI","TOT","AGRWTH","A","2001",3.671325,
"OECD","CPI","TOT","AGRWTH","A","2002",2.781272,
"OECD","CPI","TOT","AGRWTH","A","2003",2.480571,
"OECD","CPI","TOT","AGRWTH","A","2004",2.411514,
"OECD","CPI","TOT","AGRWTH","A","2005",2.644015,
"OECD","CPI","TOT","AGRWTH","A","2006",2.672063,
"OECD","CPI","TOT","AGRWTH","A","2007",2.548479,
"OECD","CPI","TOT","AGRWTH","A","2008",3.737081,
"OECD","CPI","TOT","AGRWTH","A","2009",0.5560905,
"OECD","CPI","TOT","AGRWTH","A","2010",1.802474,
"OECD","CPI","TOT","AGRWTH","A","2011",2.848879,
"OECD","CPI","TOT","AGRWTH","A","2012",2.243149,
"OECD","CPI","TOT","AGRWTH","A","2013",1.604112,
"OECD","CPI","TOT","AGRWTH","A","2014",1.740894,
"OECD","CPI","TOT","AGRWTH","A","2015",0.6838911,
"OECD","CPI","TOT","AGRWTH","A","2016",1.197111,
"OECD","CPI","TOT","AGRWTH","A","2017",2.281507,
"OECD","CPI","TOT","AGRWTH","A","2018",2.607168,
"OECD","CPI","TOT","AGRWTH","A","2019",2.068906,
"OECD","CPI","TOT","AGRWTH","A","2020",1.346857,
"OECD","CPI","TOT","AGRWTH","A","2021",3.987142,
"OECD","CPI","TOT","AGRWTH","A","2022",9.549428,
