"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",8.231965,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",8.793645,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",8.602434,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-02",9.020116,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-03",8.874605,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-04",10.37281,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-05",9.117731,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-06",8.731138,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-07",9.390965,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-08",8.685887,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-09",8.36244,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-10",10.03911,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-11",10.68719,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",6.71734,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",6.52639,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",7.099933,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",7.215691,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",6.664026,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",6.932316,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-05",6.484636,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-06",6.734324,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-07",7.775023,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-08",7.853778,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-09",7.414762,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-10",7.794811,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-11",8.021916,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",11.6,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",10.7,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",10.3,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-02",10.7,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-03",9.9,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-04",10.4,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-05",11.9,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-06",12.5,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-07",10.1,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-08",12.6,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-09",11.3,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-10",11.7,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-11",12.1,
"CAN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",9,
"CAN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",8.7,
"CAN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",8.8,
"CAN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",9.1,
"CAN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",8.5,
"CAN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",8.8,
